SUBJECT,CONFIGURATION,BASELINE_RUN,STRATEGY_RUN,KILLED_MUTANTS,TOTAL_MUTANTS,MUTATION_SCORE
ANRXToken,sFuzz_false,14,14,1,8,0.125
Rexona,sFuzz_false,14,14,4,6,0.6666666666666666
Cover_ZapIn_General_V1,sFuzz_false,14,14,6,10,0.6
YRX3,sFuzz_false,10,10,7,10,0.7
Reentrance,sFuzz_false,14,14,0,5,0.0
Dipex,sFuzz_false,14,14,3,6,0.5
GardenContractV2,sFuzz_false,18,18,1,10,0.1
ThriftToken,sFuzz_false,10,10,2,10,0.2
BTCParamV2,sFuzz_false,10,10,2,7,0.2857142857142857
AntiBaseProtocol,sFuzz_false,14,14,4,10,0.4
LIBERAPAY,sFuzz_true,13,13,4,10,0.4
DatrixoEquityToken,sFuzz_true,1,1,7,10,0.7
LUP,sFuzz_true,1,1,0,5,0.0
WolfStakingRewards,sFuzz_true,1,1,4,10,0.4
BancorV2_ZapIn_General_V1_1,sFuzz_true,13,13,3,10,0.3
BlueICE,sFuzz_true,1,1,4,10,0.4
ETFXPool,sFuzz_true,1,1,2,10,0.2
EdenCoin,sFuzz_true,13,13,2,7,0.2857142857142857
JGNRewards,sFuzz_true,13,13,1,3,0.3333333333333333
GFC,sFuzz_true,1,1,4,7,0.5714285714285714
GUMARewards,sFuzz_true,13,13,4,10,0.4
PACT,sFuzz_true,13,13,5,10,0.5
DSP,sFuzz_true,13,13,5,10,0.5
BACMARSLPTOKENPool,sFuzz_true,1,1,1,10,0.1
MARVELCOIN,sFuzz_true,13,13,4,7,0.5714285714285714
afiController,sFuzz_true,13,13,4,10,0.4
TPA,sFuzz_true,1,1,4,10,0.4
NAL,sFuzz_true,1,1,4,10,0.4
MIMOToken,sFuzz_true,1,1,0,6,0.0
FreakCoin,sFuzz_true,1,1,3,5,0.6
HTDD_contract,sFuzz_true,1,1,3,8,0.375
CourtFarming_RoomLPStake,sFuzz_true,1,1,1,2,0.5
StakingDextoken,sFuzz_true,1,1,1,10,0.1
Final,sFuzz_true,1,1,3,10,0.3
MoshiachCoinStaking,sFuzz_true,13,13,3,10,0.3
FrogDAOGovernanceRewards,sFuzz_true,1,1,3,8,0.375
SSTRewards,sFuzz_true,1,1,0,3,0.0
XenoFelix,sFuzz_true,13,13,10,10,1.0
YieldFarmLP2,sFuzz_true,13,13,0,4,0.0
Layerx,sFuzz_true,13,13,4,10,0.4
FrogDAO,sFuzz_true,13,13,1,2,0.5
Wallet,sFuzz_true,13,13,2,2,1.0
EqFinanceStaking,sFuzz_true,1,1,4,10,0.4
PRDZstakingV2,sFuzz_true,13,13,3,9,0.3333333333333333
LpStaking,sFuzz_true,1,1,2,10,0.2
